Starttime,Stoptime
9/7/2015 15:03,9/7/2015 15:27
9/7/2015 15:03,9/7/2015 16:40
9/7/2015 15:03,9/7/2015 16:41
9/7/2015 15:03,9/7/2015 15:14
9/7/2015 15:05,9/7/2015 15:20
9/7/2015 15:07,9/7/2015 16:24
9/7/2015 15:08,9/7/2015 15:53
9/7/2015 15:08,9/7/2015 16:41
9/7/2015 15:08,9/7/2015 15:53
9/7/2015 15:08,9/7/2015 15:52
9/7/2015 15:09,9/7/2015 15:52
9/7/2015 15:11,9/7/2015 17:02
9/7/2015 15:11,9/7/2015 17:07
9/7/2015 15:11,9/7/2015 16:40
9/7/2015 15:11,9/7/2015 16:38
9/7/2015 15:11,9/7/2015 15:39
9/7/2015 15:11,9/7/2015 15:43
9/7/2015 15:13,9/7/2015 16:02
9/7/2015 15:14,9/7/2015 15:54
9/7/2015 15:15,9/7/2015 17:24
9/7/2015 15:17,9/7/2015 16:08
9/7/2015 15:17,9/7/2015 16:08
9/7/2015 15:20,9/7/2015 15:32
9/7/2015 15:21,9/7/2015 16:41
9/7/2015 15:23,9/7/2015 16:41
9/7/2015 15:26,9/7/2015 15:43
9/7/2015 15:31,9/7/2015 15:40
9/7/2015 15:32,9/7/2015 17:29
9/7/2015 15:32,9/7/2015 17:30
9/7/2015 15:33,9/7/2015 15:48
9/7/2015 15:34,9/7/2015 15:59
9/7/2015 15:35,9/7/2015 15:59
9/7/2015 15:38,9/7/2015 17:13
9/7/2015 15:38,9/7/2015 17:13
9/7/2015 15:39,9/7/2015 16:08
9/7/2015 15:40,9/7/2015 15:48
9/7/2015 15:40,9/7/2015 16:02
9/7/2015 15:40,9/7/2015 16:02
9/7/2015 15:40,9/7/2015 16:07
9/7/2015 15:40,9/8/2015 4:56
9/7/2015 15:41,9/7/2015 16:09
9/7/2015 15:41,9/7/2015 16:27
9/7/2015 15:43,9/7/2015 16:08
9/7/2015 15:43,9/7/2015 15:53
9/7/2015 15:47,9/7/2015 16:28
9/7/2015 15:48,9/7/2015 16:08
9/7/2015 15:49,9/7/2015 16:11
9/7/2015 15:50,9/7/2015 16:12
9/7/2015 15:50,9/7/2015 16:30
9/7/2015 15:54,9/7/2015 15:58
9/7/2015 15:56,9/7/2015 15:58
9/7/2015 15:57,9/7/2015 16:05
9/7/2015 15:58,9/7/2015 16:14
9/7/2015 15:58,9/8/2015 10:04
9/7/2015 16:00,9/7/2015 16:16
9/7/2015 16:00,9/7/2015 16:17
9/7/2015 16:00,9/7/2015 16:17
9/7/2015 16:00,9/7/2015 16:29
9/7/2015 16:02,9/7/2015 16:08
9/7/2015 16:04,9/7/2015 19:05
9/7/2015 16:05,9/7/2015 16:39
9/7/2015 16:05,9/7/2015 16:20
9/7/2015 16:07,9/7/2015 16:39
9/7/2015 16:08,9/7/2015 17:29
9/7/2015 16:13,9/7/2015 16:30
9/7/2015 16:24,9/7/2015 17:05
9/7/2015 16:24,9/7/2015 17:05
9/7/2015 16:25,9/7/2015 17:19
9/7/2015 16:26,9/7/2015 17:19
9/7/2015 16:27,9/7/2015 17:03
9/7/2015 16:27,9/7/2015 17:07
9/7/2015 16:27,9/7/2015 16:36
9/7/2015 16:35,9/7/2015 19:13
9/7/2015 16:37,9/7/2015 19:14
9/7/2015 16:38,9/7/2015 19:13
9/7/2015 16:39,9/8/2015 15:04
9/7/2015 16:40,9/7/2015 16:43
9/7/2015 16:40,9/7/2015 17:02
9/7/2015 16:41,9/7/2015 18:33
9/7/2015 16:47,9/7/2015 17:29
9/7/2015 16:48,9/7/2015 17:29
9/7/2015 16:48,9/7/2015 18:34
9/7/2015 16:50,9/7/2015 16:54
9/7/2015 16:51,9/7/2015 18:14
9/7/2015 16:55,9/7/2015 17:38
9/7/2015 16:55,9/7/2015 17:38
9/7/2015 17:01,9/7/2015 17:04
9/7/2015 17:02,9/7/2015 17:28
9/7/2015 17:03,9/7/2015 17:52
9/7/2015 17:04,9/7/2015 17:31
9/7/2015 17:08,9/7/2015 18:00
9/7/2015 17:09,9/7/2015 18:12
9/7/2015 17:10,9/7/2015 17:28
9/7/2015 17:11,9/7/2015 18:12
9/7/2015 17:12,9/7/2015 17:25
9/7/2015 17:15,9/7/2015 19:56
9/7/2015 17:15,9/7/2015 19:56
9/7/2015 17:17,9/7/2015 17:22
9/7/2015 17:17,9/7/2015 18:02
9/7/2015 17:19,9/7/2015 17:43
9/7/2015 17:19,9/7/2015 17:46
9/7/2015 17:20,9/7/2015 19:01
9/7/2015 17:21,9/7/2015 19:03
9/7/2015 17:21,9/7/2015 19:01
9/7/2015 17:22,9/7/2015 17:49
9/7/2015 17:24,9/7/2015 17:49
9/7/2015 17:26,9/7/2015 18:23
9/7/2015 17:27,9/7/2015 18:28
9/7/2015 17:28,9/7/2015 18:46
9/7/2015 17:31,9/7/2015 18:09
9/7/2015 17:34,9/7/2015 18:10
9/7/2015 17:35,9/7/2015 17:56
9/7/2015 17:36,9/7/2015 17:57
9/7/2015 17:44,9/7/2015 18:24
9/7/2015 17:49,9/7/2015 18:07
9/7/2015 17:49,9/7/2015 17:51
9/7/2015 17:53,9/7/2015 18:12
9/7/2015 17:54,9/7/2015 18:00
9/7/2015 17:55,9/7/2015 18:22
9/7/2015 17:55,9/7/2015 18:22
9/7/2015 17:56,9/7/2015 18:05
9/7/2015 18:01,9/7/2015 18:20
9/7/2015 18:06,9/7/2015 18:14
9/7/2015 18:07,9/7/2015 19:01
9/7/2015 18:12,9/7/2015 18:20
9/7/2015 18:14,9/7/2015 18:21
9/7/2015 18:15,9/7/2015 19:15
9/7/2015 18:24,9/7/2015 19:16
9/7/2015 18:24,9/7/2015 18:59
9/7/2015 18:24,9/7/2015 18:38
9/7/2015 18:26,9/7/2015 18:52
9/7/2015 18:26,9/7/2015 19:20
9/7/2015 18:26,9/7/2015 19:19
9/7/2015 18:29,9/7/2015 19:56
9/7/2015 18:30,9/7/2015 19:18
9/7/2015 18:30,9/7/2015 20:00
9/7/2015 18:31,9/7/2015 19:57
9/7/2015 18:32,9/7/2015 20:00
9/7/2015 18:36,9/7/2015 19:55
9/7/2015 18:36,9/7/2015 19:31
9/7/2015 18:40,9/7/2015 19:31
9/7/2015 18:40,9/7/2015 19:02
9/7/2015 18:40,9/7/2015 19:02
9/7/2015 18:42,9/8/2015 15:44
9/7/2015 18:50,9/7/2015 18:55
9/7/2015 18:53,9/7/2015 19:14
9/7/2015 18:53,9/7/2015 19:50
9/7/2015 18:54,9/7/2015 19:14
9/7/2015 18:54,9/7/2015 19:05
9/7/2015 19:01,9/7/2015 19:19
9/7/2015 19:01,9/8/2015 20:08
9/7/2015 19:02,9/7/2015 20:38
9/7/2015 19:06,9/7/2015 20:08
