Starttime,Stoptime
8/10/2015 21:06,8/10/2015 21:27
8/10/2015 21:06,8/10/2015 21:27
8/10/2015 21:07,8/10/2015 21:24
8/10/2015 21:39,8/10/2015 21:54
8/10/2015 21:43,8/10/2015 22:02
8/10/2015 21:44,8/10/2015 21:53
8/10/2015 21:50,8/10/2015 22:51
8/10/2015 21:50,8/10/2015 21:59
8/10/2015 22:05,8/10/2015 22:32
8/10/2015 22:31,8/10/2015 22:39
8/10/2015 22:35,8/10/2015 22:37
8/10/2015 22:55,8/10/2015 22:58
8/10/2015 23:15,8/11/2015 14:55
8/10/2015 23:15,8/10/2015 23:35
8/11/2015 0:14,8/11/2015 0:20
8/11/2015 0:59,8/11/2015 1:05
8/11/2015 2:18,8/11/2015 2:29
8/11/2015 2:19,8/11/2015 2:29
8/11/2015 4:24,8/11/2015 4:41
8/11/2015 5:30,8/11/2015 6:00
8/11/2015 5:32,8/11/2015 6:22
8/11/2015 5:40,8/11/2015 6:00
8/11/2015 6:08,8/11/2015 6:41
8/11/2015 6:38,8/11/2015 6:50
8/11/2015 7:16,8/11/2015 7:28
8/11/2015 7:28,8/11/2015 7:39
8/11/2015 7:44,8/11/2015 8:03
8/11/2015 7:47,8/11/2015 8:03
8/11/2015 7:48,8/12/2015 10:49
8/11/2015 7:50,8/11/2015 7:56
8/11/2015 7:56,8/11/2015 8:19
8/11/2015 8:00,8/11/2015 8:21
8/11/2015 8:05,8/11/2015 8:15
8/11/2015 8:06,8/11/2015 8:15
8/11/2015 8:06,8/11/2015 8:17
8/11/2015 8:07,8/11/2015 8:28
8/11/2015 8:09,8/11/2015 8:19
8/11/2015 8:11,8/11/2015 8:20
8/11/2015 8:19,8/11/2015 8:30
8/11/2015 8:20,8/11/2015 8:34
8/11/2015 8:23,8/11/2015 17:37
8/11/2015 8:28,8/11/2015 8:38
8/11/2015 8:29,8/11/2015 8:44
8/11/2015 8:31,8/11/2015 9:30
8/11/2015 8:31,8/11/2015 8:37
8/11/2015 8:34,8/11/2015 8:46
8/11/2015 8:39,8/11/2015 8:51
8/11/2015 8:39,8/11/2015 8:41
8/11/2015 8:43,8/11/2015 8:58
8/11/2015 8:52,8/11/2015 9:04
8/11/2015 8:57,8/11/2015 9:02
8/11/2015 8:57,8/11/2015 9:10
8/11/2015 8:59,8/11/2015 9:05
8/11/2015 9:02,8/11/2015 9:12
8/11/2015 9:02,8/11/2015 9:12
8/11/2015 9:07,8/11/2015 9:13
8/11/2015 9:11,8/11/2015 9:26
8/11/2015 9:32,8/11/2015 9:51
8/11/2015 9:40,8/11/2015 9:46
8/11/2015 9:45,8/11/2015 10:05
8/11/2015 9:46,8/11/2015 10:05
8/11/2015 10:07,8/11/2015 11:04
8/11/2015 10:08,8/11/2015 12:45
8/11/2015 10:09,8/11/2015 10:19
8/11/2015 10:24,8/11/2015 10:35
8/11/2015 10:27,8/11/2015 10:35
8/11/2015 10:28,8/11/2015 11:27
8/11/2015 10:30,8/11/2015 11:02
8/11/2015 10:40,8/11/2015 10:45
8/11/2015 10:45,8/11/2015 11:02
8/11/2015 10:49,8/11/2015 11:01
8/11/2015 10:50,8/11/2015 10:55
8/11/2015 10:52,8/11/2015 11:41
8/11/2015 11:05,8/11/2015 11:47
8/11/2015 11:11,8/11/2015 11:19
8/11/2015 11:13,8/11/2015 11:31
8/11/2015 11:14,8/11/2015 12:08
8/11/2015 11:25,8/11/2015 12:44
8/11/2015 11:25,8/11/2015 11:47
8/11/2015 11:32,8/11/2015 13:55
8/11/2015 11:32,8/11/2015 12:44
8/11/2015 11:33,8/11/2015 11:55
8/11/2015 11:33,8/11/2015 13:55
8/11/2015 11:37,8/11/2015 13:24
8/11/2015 11:38,8/11/2015 13:02
8/11/2015 11:39,8/11/2015 13:01
8/11/2015 11:39,8/11/2015 13:31
8/11/2015 11:40,8/11/2015 13:00
8/11/2015 11:40,8/11/2015 12:05
8/11/2015 11:41,8/11/2015 12:58
8/11/2015 11:42,8/11/2015 12:57
8/11/2015 11:44,8/11/2015 11:55
8/11/2015 11:50,8/11/2015 12:08
8/11/2015 11:50,8/11/2015 12:45
8/11/2015 11:50,8/11/2015 11:59
8/11/2015 11:54,8/11/2015 12:00
8/11/2015 11:57,8/11/2015 12:16
8/11/2015 11:59,8/11/2015 12:25
8/11/2015 12:09,8/11/2015 12:17
8/11/2015 12:15,8/11/2015 12:23
8/11/2015 12:15,8/11/2015 12:21
8/11/2015 12:15,8/11/2015 12:32
8/11/2015 12:16,8/11/2015 12:33
8/11/2015 12:26,8/11/2015 12:51
8/11/2015 12:26,8/11/2015 12:57
8/11/2015 12:26,8/11/2015 14:45
8/11/2015 12:28,8/11/2015 12:49
8/11/2015 12:28,8/11/2015 14:44
8/11/2015 12:30,8/11/2015 12:40
8/11/2015 12:36,8/11/2015 12:52
8/11/2015 12:40,8/11/2015 13:00
8/11/2015 12:43,8/11/2015 12:45
8/11/2015 12:49,8/11/2015 13:22
8/11/2015 12:51,8/11/2015 13:03
8/11/2015 12:52,8/11/2015 13:01
8/11/2015 12:53,8/11/2015 13:19
8/11/2015 12:58,8/11/2015 13:20
8/11/2015 13:00,8/11/2015 14:35
8/11/2015 13:05,8/11/2015 13:34
8/11/2015 13:06,8/11/2015 13:32
8/11/2015 13:07,8/11/2015 13:21
8/11/2015 13:08,8/11/2015 13:59
8/11/2015 13:11,8/11/2015 13:58
8/11/2015 13:13,8/11/2015 13:22
8/11/2015 13:21,8/11/2015 13:46
8/11/2015 13:21,8/11/2015 14:04
8/11/2015 13:26,8/11/2015 13:34
8/11/2015 13:27,8/11/2015 13:29
8/11/2015 13:27,8/11/2015 13:31
8/11/2015 13:29,8/11/2015 13:44
8/11/2015 13:31,8/11/2015 13:46
